#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Marble Madness (Europe);Marble Madness (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Marksman Shooting & Trap Shooting & Safari Hunt (Europe);Marksman Shooting & Trap Shooting & Safari Hunt (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Marksman Shooting & Trap Shooting (USA);Marksman Shooting & Trap Shooting (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Master Mega Man;Master Mega Man;SEGA Master System;;;;;;;;;;;;;;;;;;
Master of Darkness (Europe);Master of Darkness (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Masters of Combat (Europe);Masters of Combat (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Maze Hunter 3-D (USA, Europe);Maze Hunter 3-D (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Megumi Rescue (Japan);Megumi Rescue (Japan);SEGA Master System;;;;;;;;;;;;;;;;;;
Mercs (Europe);Mercs (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Michael Jackson's Moonwalker (USA, Europe);Michael Jackson's Moonwalker (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Mick & Mack as the Global Gladiators (Europe);Mick & Mack as the Global Gladiators (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Mickey's Ultimate Challenge (Brazil);Mickey's Ultimate Challenge (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Micro Machines (Europe);Micro Machines (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Miracle Warriors - Seal of the Dark Lord (USA, Europe);Miracle Warriors - Seal of the Dark Lord (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Missile Defense 3-D (USA, Europe);Missile Defense 3-D (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Monopoly (USA);Monopoly (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Montezuma's Revenge featuring Panama Joe (USA);Montezuma's Revenge featuring Panama Joe (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Mortal Kombat (Europe);Mortal Kombat (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Mortal Kombat 3 (Brazil);Mortal Kombat 3 (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Mortal Kombat II (Europe);Mortal Kombat II (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Ms. Pac-Man (Europe);Ms. Pac-Man (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
My Hero (USA, Europe);My Hero (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
NBA Jam (Europe) (Proto);NBA Jam (Europe) (Proto);SEGA Master System;;;;;;;;;;;;;;;;;;
New Zealand Story, The (Europe);New Zealand Story, The (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Ninja Gaiden (Europe);Ninja Gaiden (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Ninja, The (USA, Europe);Ninja, The (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Olympic Gold (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv);Olympic Gold (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv);SEGA Master System;;;;;;;;;;;;;;;;;;
Operation Wolf (Europe);Operation Wolf (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Ottifants, The (Europe) (En,Fr,De,Es,It);Ottifants, The (Europe) (En,Fr,De,Es,It);SEGA Master System;;;;;;;;;;;;;;;;;;
Out Run (World);Out Run (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Out Run 3-D (Europe);Out Run 3-D (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Out Run Europa (Europe);Out Run Europa (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
PGA Tour Golf (Europe);PGA Tour Golf (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Pac-Mania (Europe);Pac-Mania (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Paperboy (USA);Paperboy (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Parlour Games (USA, Europe);Parlour Games (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Pat Riley Basketball (USA) (Proto);Pat Riley Basketball (USA) (Proto);SEGA Master System;;;;;;;;;;;;;;;;;;
