#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Daffy Duck in Hollywood (Europe);Daffy Duck in Hollywood (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dark Castle (USA, Europe);Dark Castle (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dashin' Desperadoes;Dashin' Desperadoes;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dashin' Desperadoes (USA);Dashin' Desperadoes (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
David Crane's Amazing Tennis (USA);David Crane's Amazing Tennis (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
David Robinson's Supreme Court (USA, Europe);David Robinson's Supreme Court (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Davis Cup Tennis (USA, Europe);Davis Cup Tennis (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Deadly Moves (USA);Deadly Moves (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Death Duel (USA);Death Duel (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Death and Return of Superman, The (USA);Death and Return of Superman, The (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
DecapAttack;DecapAttack;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
DecapAttack (USA, Europe);DecapAttack (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Demolition Man (USA, Europe);Demolition Man (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Desert Demolition Starring Road Runner and Wile E. Coyote (USA, Europe);Desert Demolition Starring Road Runner and Wile E. Coyote (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Desert Strike;Desert Strike;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Desert Strike - Return To The Gulf (USA, Europe);Desert Strike - Return To The Gulf (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Devilish - The Next Possession (USA);Devilish - The Next Possession (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dick Tracy (World);Dick Tracy (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dick Vitale's 'Awesome, Baby!' College Hoops (USA);Dick Vitale's 'Awesome, Baby!' College Hoops (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dino Dini's Soccer (Europe);Dino Dini's Soccer (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dino Land (USA);Dino Land (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dinosaur's Tale, A (USA);Dinosaur's Tale, A (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dinosaurs for Hire (USA);Dinosaurs for Hire (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Disney Collection, The (Europe);Disney Collection, The (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Donald in Maui Mallard (Europe);Donald in Maui Mallard (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Doom Troopers;Doom Troopers;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Doom Troopers (USA);Doom Troopers (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Double Clutch (Europe);Double Clutch (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Double Dragon (USA, Europe);Double Dragon (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Double Dragon 3 - The Arcade Game (USA, Europe);Double Dragon 3 - The Arcade Game (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Double Dragon V - The Shadow Falls (USA);Double Dragon V - The Shadow Falls (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Double Dribble - The Playoff Edition (USA);Double Dribble - The Playoff Edition (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dr. Robotnik's Mean Bean Machine (USA);Dr. Robotnik's Mean Bean Machine (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dragon - The Bruce Lee Story (USA);Dragon - The Bruce Lee Story (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dragon's Fury;Dragon's Fury;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dragon's Fury (USA, Europe);Dragon's Fury (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dragon's Revenge;Dragon's Revenge;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dragon's Revenge (USA, Europe);Dragon's Revenge (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dune - The Battle for Arrakis (USA);Dune - The Battle for Arrakis (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dungeons & Dragons - Warriors of the Eternal Sun (USA, Europe);Dungeons & Dragons - Warriors of the Eternal Sun (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dynamite Duke (World) (Rev A);Dynamite Duke (World) (Rev A);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dynamite Headdy;Dynamite Headdy;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Dynamite Headdy (USA, Europe);Dynamite Headdy (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
EA Sports Double Header (Europe);EA Sports Double Header (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
ECCO the Dolphin;ECCO the Dolphin;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
ESPN Baseball Tonight (USA);ESPN Baseball Tonight (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
ESPN National Hockey Night (USA);ESPN National Hockey Night (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
ESPN Speed World (USA);ESPN Speed World (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
ESPN Sunday Night NFL (USA);ESPN Sunday Night NFL (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
ESWAT - City Under Siege (USA, Europe);ESWAT - City Under Siege (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
ESWATmd;ESWATmd;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Earnest Evans (USA);Earnest Evans (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Earth Defense (USA) (Unl);Earth Defense (USA) (Unl);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Earthworm Jim;Earthworm Jim;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Earthworm Jim (USA);Earthworm Jim (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Earthworm Jim 2 (USA);Earthworm Jim 2 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Earthworm Jim II;Earthworm Jim II;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
